service_id,name,aliases,price_rm,duration_min,category,notes,description
svc_cut_senior_stylist,Haircut (Senior Stylist),haircut;cut rambut;potong rambut;wash blow finish,76,45,haircut,Includes wash & blow,"Haircut (Senior Stylist) (svc_cut_senior_stylist) is a haircut service priced at RM76 with a typical duration of about 45 minutes. Also known as: haircut, cut rambut, potong rambut, wash blow finish. Notes: Includes wash & blow."
svc_cut_director,Haircut (Director),director cut;haircut director,98,50,haircut,Includes wash & blow,"Haircut (Director) (svc_cut_director) is a haircut service priced at RM98 with a typical duration of about 50 minutes. Also known as: director cut, haircut director. Notes: Includes wash & blow."
svc_cut_senior_director,Haircut (Senior Director),senior director cut;haircut senior director,138,55,haircut,Includes wash & blow,"Haircut (Senior Director) (svc_cut_senior_director) is a haircut service priced at RM138 with a typical duration of about 55 minutes. Also known as: senior director cut, haircut senior director. Notes: Includes wash & blow."
svc_cut_exec_director,Haircut (Executive Director),executive director cut,168,60,haircut,Includes wash & blow,Haircut (Executive Director) (svc_cut_exec_director) is a haircut service priced at RM168 with a typical duration of about 60 minutes. Also known as: executive director cut. Notes: Includes wash & blow.
svc_cut_creative_director,Haircut (Creative Director),creative director cut,188,60,haircut,Includes wash & blow,Haircut (Creative Director) (svc_cut_creative_director) is a haircut service priced at RM188 with a typical duration of about 60 minutes. Also known as: creative director cut. Notes: Includes wash & blow.
svc_cut_children_13_19,Haircut (Children 13â€“19),teen cut;pelajar;remaja,-30,45,haircut_discount,30% OFF from selected stylist tiers,"Haircut (Children 13â€“19) (svc_cut_children_13_19) is a haircut discount service priced at RM-30 with a typical duration of about 45 minutes. Also known as: teen cut, pelajar, remaja. Notes: 30% OFF from selected stylist tiers."
svc_cut_children_0_12,Haircut (Children 0â€“12),kid cut;kanak-kanak,-50,30,haircut_discount,50% OFF from selected stylist tiers,"Haircut (Children 0â€“12) (svc_cut_children_0_12) is a haircut discount service priced at RM-50 with a typical duration of about 30 minutes. Also known as: kid cut, kanak-kanak. Notes: 50% OFF from selected stylist tiers."
svc_fringe_cut,Fringe Cut,trim fringe;cut bang;potong poni,10,10,haircut,RM10 (with spending in 6 months) / RM20 (without),"Fringe Cut (svc_fringe_cut) is a haircut service priced at RM10 with a typical duration of about 10 minutes. Also known as: trim fringe, cut bang, potong poni. Notes: RM10 (with spending in 6 months) / RM20 (without)."
svc_wash_blow_short,Wash & Blow (Shortâ€”Up to collarbone),wash and blow;cuci & blow;blowdry pendek,55,30,styling,,"Wash & Blow (Shortâ€”Up to collarbone) (svc_wash_blow_short) is a styling service priced at RM55 with a typical duration of about 30 minutes. Also known as: wash and blow, cuci & blow, blowdry pendek."
svc_wash_blow_long,Wash & Blow (Longâ€”Collarbone & below),wash blow long;cuci & blow panjang,65,40,styling,,"Wash & Blow (Longâ€”Collarbone & below) (svc_wash_blow_long) is a styling service priced at RM65 with a typical duration of about 40 minutes. Also known as: wash blow long, cuci & blow panjang."
